Model,Training Accuracy,Training Precision,Training Recall,Training F1,Training MCC,5-Fold CV F1,Testing Accuracy,Testing Precision,Testing Recall,Testing F1,Testing MCC
Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,0.6888888888888889,0.7777777777777778,0.7283950617283951,0.6161878771933119
Gradient Boosting,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.911111111111111,0.8888888888888888,0.8871252204585538,0.8299751174897799
XGBoost,1.0,1.0,1.0,1.0,1.0,0.981331351418308,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.625
SVM,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5925925925925926,0.6666666666666666,0.6095238095238096,0.4330127018922193
KNN,1.0,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,0.6888888888888889,0.7777777777777778,0.7283950617283951,0.6161878771933119
Decision Tree,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
