Model,Training Accuracy,Training Precision,Training Recall,Training F1,Training MCC,4-Fold CV F1
Random Forest,1.0,1.0,1.0,1.0,1.0,0.9630751964085298
Gradient Boosting,1.0,1.0,1.0,1.0,1.0,0.9553386800513238
XGBoost,1.0,1.0,1.0,1.0,1.0,0.9619032395566922
SVM,1.0,1.0,1.0,1.0,1.0,0.992263483642794
KNN,1.0,1.0,1.0,1.0,1.0,0.9705387205387206
Decision Tree,1.0,1.0,1.0,1.0,1.0,0.9694659507159507
