Model,Training Accuracy,Training Precision,Training Recall,Training F1,Training MCC,5-Fold CV F1,Testing Accuracy,Testing Precision,Testing Recall,Testing F1,Testing MCC
Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.911111111111111,0.8888888888888888,0.8765432098765431,0.8504200642707613
Gradient Boosting,1.0,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,0.6296296296296295,0.7777777777777778,0.6888888888888889,0.7183811165192391
XGBoost,1.0,1.0,1.0,1.0,1.0,0.9863636363636363,0.6666666666666666,0.5259259259259259,0.6666666666666666,0.5851851851851851,0.5319745242113929
SVM,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.911111111111111,0.8888888888888888,0.8765432098765431,0.8504200642707613
KNN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Decision Tree,1.0,1.0,1.0,1.0,1.0,0.9836132652186164,0.6666666666666666,0.47619047619047616,0.6666666666666666,0.5454545454545454,0.5555838995037159
