Site,Year,pH,Odour,Turbidity,Conductivity,Chloride (ppm),Sulphates(ppm),Iron (ppm),COD(ppm),BOD(ppm),DO(ppm),Lead(ppm),Ammonia(ppm),Nitrate(ppm),Fluorides(ppm),Phosphates(ppm),Total Bacterial Count (cfu/ml),Total Fungal Count (cfu/ml),Pesticide (µg/l),WQI,WQI_Class,WQI_Pred,Hotspot,Exposure_Proxy,Priority_Index,Priority_Score
Agra Canal(Site 1) (Surface Water),2017,7.2,,11.5,712,224.5,81.0,6.0,36.1,27.3,2.0,,0.6,56.0,,,8000,600.0,,50.17543859649122,Medium,,False,1,49.82456140350878,49.82456140350878
Agra Canal(Site 1) (Surface Water),2018,7.3,,12.5,733,236.5,85.0,6.21,38.1,28.3,1.8,,0.7,65.0,,,9000,600.0,,46.31578947368423,Poor,,True,1,53.68421052631577,53.68421052631577
Yamuna River(Site 1) (Surface Water),2016,7.49,,2.1,476,19.35,50.0,3.8,24.4,16.0,6.0,,0.4,45.0,,,2800,400.0,,63.40350877192981,Medium,,False,1,36.59649122807019,36.59649122807019
Yamuna River(Site 1) (Surface Water),2017,7.5,,1.9,481,22.1,55.0,4.0,24.6,17.3,5.8,,0.5,54.0,,,2768,400.0,,64.7017543859649,Medium,51.6635555555555,False,1,35.298245614035096,35.298245614035096
Yamuna River(Site 1) (Surface Water),2018,7.7,,2.5,526,23.35,57.0,4.2,25.3,18.0,5.4,,0.6,65.0,,,2890,450.0,,51.9298245614035,Medium,,False,1,48.0701754385965,48.0701754385965
Yamuna River(Site 2) (Surface Water),2016,7.43,,12.9,368,121.9,25.0,2.5,34.0,26.8,3.4,,0.6,45.0,,,100,,,41.2982456140351,Poor,,True,1,58.7017543859649,58.7017543859649
Yamuna River(Site 2) (Surface Water),2017,7.5,,13.4,378,128.8,39.0,3.2,38.6,27.4,3.6,,0.7,54.0,,,100,,,38.59649122807018,Poor,,True,1,61.40350877192982,61.40350877192982
Yamuna River(Site 2) (Surface Water),2018,7.54,,14.5,389,132.9,45.0,3.8,45.0,28.8,2.4,,0.8,64.0,,,200,,,37.05263157894737,Poor,,True,1,62.94736842105263,62.94736842105263
Yamuna River(Site 3) (Surface Water),2016,7.8,,12.5,563,65.16,62.0,13.2,19.0,41.0,3.4,,12.0,10.0,,,3000,300.0,,27.01754385964913,Poor,,True,1,72.98245614035088,72.98245614035088
Yamuna River(Site 3) (Surface Water),2017,7.8,,12.6,573,70.3,70.0,13.6,20.3,46.0,2.8,,11.7,13.0,,,3000,300.0,,27.01754385964913,Poor,27.6394152046784,True,1,72.98245614035088,72.98245614035088
Yamuna River(Site 3) (Surface Water),2018,7.9,,13.4,593,95.16,90.0,14.5,21.7,48.7,1.8,,14.2,14.0,,,3500,500.0,,23.15789473684209,Very Poor,,True,1,76.84210526315792,76.84210526315792
Yamuna Water(Site 4) (Surface Water),2016,7.51,,11.3,751,154.85,72.0,4.5,29.9,65.0,2.7,,0.2,52.0,,,400,,,38.21052631578948,Poor,,True,1,61.78947368421052,61.78947368421052
Yamuna Water(Site 4) (Surface Water),2017,7.5,,12.0,765,176.8,87.0,5.1,37.1,69.3,1.6,,0.2,58.0,,,450,,,38.59649122807018,Poor,,True,1,61.40350877192982,61.40350877192982
Yamuna Water(Site 4) (Surface Water),2018,7.62,,12.1,775,214.85,98.0,5.5,39.0,75.0,1.1,,0.23,65.0,,,500,,,33.964912280701746,Poor,,True,1,66.03508771929825,66.03508771929825
Ghaggar River(Site 1) (Surface Water),2016,7.5,,7.2,458,32.26,60.0,2.6,16.0,7.2,6.1,,0.5,45.0,,,200,,,38.59649122807018,Poor,,True,1,61.40350877192982,61.40350877192982
Ghaggar River(Site 1) (Surface Water),2017,7.7,,7.4,452,47.2,63.0,3.5,17.3,8.1,5.9,,0.6,56.0,,,300,,,30.877192982456133,Poor,39.61050292397667,True,1,69.12280701754386,69.12280701754386
Ghaggar River(Site 1) (Surface Water),2018,7.8,,8.0,439,56.26,65.0,4.6,19.36,9.54,5.8,,0.8,65.0,,,400,,,27.01754385964913,Poor,32.217122807017546,True,1,72.98245614035088,72.98245614035088
Ghaggar River(Site 2)(Surface Water),2016,7.03,,9.2,759,19.35,50.0,5.5,18.32,14.1,5.3,,0.3,45.0,,,1500,200.0,,56.73684210526315,Medium,,False,1,43.26315789473685,43.26315789473685
Ghaggar River(Site 2)(Surface Water),2017,7.4,,9.5,798,22.2,54.0,4.6,19.1,15.3,5.1,,0.4,56.0,,,1750,200.0,,42.45614035087719,Poor,,True,1,57.54385964912281,57.54385964912281
Ghaggar River(Site 2)(Surface Water),2018,7.5,,10.4,788,24.35,60.0,3.5,20.1,16.4,5.0,,0.6,67.0,,,1930,200.0,,38.59649122807018,Poor,39.89239766081885,True,1,61.40350877192982,61.40350877192982
Ghaggar River(Site 3) (Surface Water),2016,7.01,,12.5,563,77.42,73.0,5.21,26.0,25.2,4.4,,0.5,45.0,0.5,,770,,,57.508771929824576,Medium,56.5374269005849,False,1,42.491228070175424,42.491228070175424
Ghaggar River(Site 3) (Surface Water),2017,7.03,,13.3,576,77.87,75.0,5.87,27.4,25.8,4.0,,0.5,64.0,0.6,,795,,,56.73684210526315,Medium,,False,1,43.26315789473685,43.26315789473685
Ghaggar River(Site 3) (Surface Water),2018,7.05,,14.5,595,78.42,93.0,6.21,28.0,26.26,3.4,,0.5,75.0,0.5,,815,,,55.96491228070176,Medium,,False,1,44.03508771929824,44.03508771929824
Ghaggar River(Site 4) (Surface Water),2016,6.79,,20.0,763,135.79,20.0,2.16,30.0,36.4,1.6,,0.8,45.0,1.8,,5500,254.0,,57.89473684210526,Medium,,False,1,42.10526315789474,42.10526315789474
Ghaggar River(Site 4) (Surface Water),2017,6.8,,21.0,790,146.0,24.1,2.78,32.7,37.5,0.0,,1.4,57.0,2.28,,5959,280.0,,57.89473684210526,Medium,,False,1,42.10526315789474,42.10526315789474
Ghaggar River(Site 4) (Surface Water),2018,6.94,,21.0,813,154.49,24.8,2.99,34.0,38.0,0.8,,1.79,67.0,2.41,,6150,295.0,,57.89473684210526,Medium,,False,1,42.10526315789474,42.10526315789474
Ghaggar River(Site 5) (Surface Water),2016,7.34,,18.5,639,96.78,65.0,3.5,21.0,30.4,1.2,,1.3,59.0,1.1,,6500,,,44.77192982456141,Poor,,True,1,55.22807017543859,55.22807017543859
Ghaggar River(Site 5) (Surface Water),2017,7.4,,20.2,799,104.3,66.0,3.6,21.4,34.8,1.0,,1.4,62.0,0.9,,6450,,,42.45614035087719,Poor,,True,1,57.54385964912281,57.54385964912281
Ghaggar River(Site 5) (Surface Water),2018,7.45,,22.5,885,154.2,69.0,4.1,22.5,39.0,0.0,,1.7,65.0,1.3,,6980,,,40.52631578947368,Poor,,True,1,59.47368421052632,59.47368421052632
Markanda River(Site 1) (Surface Water),2016,7.72,,2.1,789,82.8,65.0,10.8,11.5,20.6,3.3,,0.3,55.75,0.41,,600,200.0,,54.5263157894737,Medium,46.96276023391806,False,1,45.4736842105263,45.4736842105263
Markanda River(Site 1) (Surface Water),2017,7.6,,3.5,872,80.3,77.0,11.0,23.9,25.1,3.1,,0.4,59.9,0.49,,600,200.0,,47.36842105263159,Poor,,True,1,52.63157894736841,52.63157894736841
Markanda River(Site 1) (Surface Water),2018,7.76,,4.4,811,98.22,98.0,11.0,29.0,28.3,2.4,,0.6,68.4,0.48,,700,200.0,,33.6140350877193,Poor,,True,1,66.3859649122807,66.3859649122807
