site,year,ph,odour,turbidity,conductivity,chloride_(ppm),sulphates(ppm),iron_(ppm),cod(ppm),bod(ppm),do(ppm),lead(ppm),ammonia(ppm),nitrate(ppm),fluorides(ppm),phosphates(ppm),total_bacterial_count_(cfu/ml),total_fungal_count_(cfu/ml),pesticide_(µg/l),wqi,wqi_class,predicted_wqi,priority_score
Ghaggar River(Site 2) (Ground Water),2017,7.3,,0.5,945.0,159.2,154.0,0.6,17.43,9.65,7.1,,0.3,12.0,,,695,,,182.56787875022707,Poor,183.26854584979887,182.56787875022707
Ghaggar River(Site 2) (Ground Water),2018,7.35,,0.6,963.0,165.84,163.0,0.6,18.23,10.2,6.5,,0.3,14.0,,,670,,,182.8188280845292,Poor,183.5557272730981,182.8188280845292
Ghaggar River(Site 3) (Ground Water),2016,8.01,,2.1,902.0,393.56,75.0,0.5,25.6,15.2,4.0,,0.2,39.0,0.98,5.2,790,100.0,,142.14632855458885,Poor,165.35215195560795,142.14632855458885
Ghaggar River(Site 3) (Ground Water),2017,8.04,,2.3,920.0,376.3,68.0,0.4,26.6,15.56,4.0,,0.8,47.1,1.1,5.9,855,100.0,,118.14293987719245,Poor,124.88985537463135,118.14293987719245
Ghaggar River(Site 3) (Ground Water),2018,8.14,,2.5,924.0,345.56,95.0,0.4,27.0,16.2,3.9,,1.1,49.0,0.8,5.4,905,100.0,,115.46710032090414,Poor,277.09638015520835,115.46710032090414
Ghaggar River(Site 4) (Ground Water),2016,7.21,,2.8,712.0,51.61,30.0,1.21,30.0,24.7,2.7,,0.4,10.0,2.69,,600,,,339.7431301105321,Unsuitable,793.9511288594033,339.7431301105321
Ghaggar River(Site 4) (Ground Water),2017,7.34,,2.8,734.0,60.8,45.0,1.7,31.7,27.1,2.7,,0.6,30.0,3.29,,700,,,471.5407400716687,Unsuitable,465.3879377894928,471.5407400716687
Ghaggar River(Site 4) (Ground Water),2018,7.49,,2.9,763.0,76.61,60.0,1.8,33.0,30.2,2.6,,1.3,34.0,3.7,,800,,,501.702633269393,Unsuitable,479.34627709438377,501.702633269393
Ghaggar River(Site 5) (Ground Water),2016,7.63,,1.4,589.0,151.64,75.0,1.54,26.1,29.7,2.1,,1.3,69.0,1.4,,5330,,,411.07513831306665,Unsuitable,424.8935213461338,411.07513831306665
Ghaggar River(Site 5) (Ground Water),2017,7.67,,1.5,653.0,154.4,76.0,1.65,26.5,35.1,1.9,,1.1,72.0,1.7,,5300,,,442.44521094056455,Unsuitable,453.7940800511436,442.44521094056455
Ghaggar River(Site 5) (Ground Water),2018,7.68,,1.8,692.0,198.3,78.0,1.75,27.0,39.4,1.1,,1.5,78.0,2.1,,5440,,,472.46194589433264,Unsuitable,473.256487917068,472.46194589433264
Markanda River(Site 1) (Ground Water),2016,7.78,,0.47,755.2,19.53,13.5,9.17,9.08,18.48,6.3,,0.4,92.5,0.82,,700,,,2354.166846138188,Unsuitable,1912.5525970953545,2354.166846138188
Markanda River(Site 1) (Ground Water),2017,7.6,,0.51,781.0,17.45,21.6,7.25,9.3,18.9,6.1,,0.37,91.2,0.37,,800,,,1858.720275012011,Unsuitable,1846.9109875837469,1858.720275012011
Markanda River(Site 1) (Ground Water),2018,7.61,,0.56,773.0,18.89,28.9,7.81,9.87,18.7,5.7,,0.32,90.5,0.61,,800,,,2004.310603311773,Unsuitable,1680.7500200327586,2004.310603311773
